question,votes,tags
The difference between the Runnable and Callable interfaces in Java,530,"['java', 'multithreading', 'interface', 'runnable', 'callable']"
What are the effects of exceptions on performance in Java?,530,"['java', 'performance', 'exception']"
Why does Java's hashCode() in String use 31 as a multiplier?,530,"['java', 'string', 'algorithm', 'hash']"
How to preserve insertion order in HashMap? [duplicate],529,"['java', 'hashmap']"
Reverse a string in Java,528,"['java', 'string']"
What is this date format? 2011-08-12T20:17:46.384Z,527,"['java', 'date', 'time', 'format', 'simpledateformat']"
Why is the Java main method static?,522,"['java', 'static', 'main']"
How to implement a tree data-structure in Java?,522,"['java', 'data-structures', 'tree']"
Should a retrieval method return 'null' or throw an exception when it can't produce the return value? [closed],521,"['java', 'exception', 'error-handling', 'null']"
Seeking useful Eclipse Java code templates [closed],519,"['java', 'eclipse', 'templates', 'ide', 'code-generation']"
Getting random numbers in Java [duplicate],518,"['java', 'random']"
How to read the value of a private field from a different class in Java?,518,"['java', 'class', 'reflection', 'field', 'private']"
Check whether a string is not null and not empty,517,"['java', 'string', 'string-comparison']"
Change private static final field using Java reflection,517,"['java', 'reflection', 'static', 'private', 'final']"
A quick and easy way to join array elements with a separator (the opposite of split) in Java [duplicate],516,"['java', 'arrays', 'string']"
Java equivalent to #region in C#,516,"['java', 'c#', 'eclipse', 'folding']"
Safely casting long to int in Java,516,"['java', 'casting']"
What is the native keyword in Java for?,514,"['java', 'java-native-interface', 'native', 'keyword']"
Why should Java 8's Optional not be used in arguments,514,"['java', 'java-8', 'optional']"
"How does the ""final"" keyword in Java work? (I can still modify an object.)",513,"['java', 'final']"
How should I have explained the difference between an Interface and an Abstract class?,513,"['java', 'oop', 'inheritance', 'interface', 'abstract-class']"
How to launch an Activity from another Application in Android,512,"['java', 'android', 'kotlin', 'android-intent']"
Java 8 Iterable.forEach() vs foreach loop,512,"['java', 'for-loop', 'java-8', 'java-stream']"
Resolving javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed Error?,512,"['java', 'ssl', 'https']"
Decode Base64 data in Java,510,"['java', 'base64']"
How to turn off the Eclipse code formatter for certain sections of Java code?,510,"['java', 'eclipse', 'code-formatting', 'pretty-print', 'eclipse-formatter']"
Difference between jar and war in Java,509,"['java', 'jar', 'war']"
How to escape % in String.Format?,507,"['java', 'android', 'string', 'syntax']"
Hashset vs Treeset,507,"['java', 'hashset', 'treeset']"
Can Mockito capture arguments of a method called multiple times?,507,"['java', 'unit-testing', 'mocking', 'mockito']"
How to programmatically set drawableLeft on Android button?,506,"['java', 'android', 'android-layout', 'android-2.2-froyo']"
MVC pattern on Android,505,"['java', 'android', 'design-patterns', 'model-view-controller']"
Use Mockito to mock some methods but not others,503,"['java', 'mocking', 'mockito']"
"Spring @Transactional - isolation, propagation",502,"['java', 'spring', 'transactional', 'isolation', 'propagation']"
Why does this go into an infinite loop?,502,"['java', 'loops', 'operators', 'variable-assignment', 'increment']"
Getting the name of the currently executing method,499,"['java', 'reflection', 'methods']"
How to see JavaDoc in IntelliJ IDEA? [duplicate],498,"['java', 'intellij-idea', 'ide', 'javadoc']"
When do you use Java's @Override annotation and why?,498,"['java', 'annotations']"
How to check certificate name and alias in keystore files?,497,"['java', 'android', 'keystore']"
IDEA: javac: source release 1.7 requires target release 1.7,497,"['java', 'intellij-idea']"
How to implement REST token-based authentication with JAX-RS and Jersey,494,"['java', 'rest', 'authentication', 'jax-rs', 'jersey-2.0']"
Java Hashmap: How to get key from value?,494,"['java', 'hashmap']"
Should I avoid the use of set(Preferred|Maximum|Minimum)Size methods in Java Swing?,494,"['java', 'swing', 'layout-manager']"
Why is using a wild card with a Java import statement bad?,493,"['java', 'import', 'wildcard']"
The case against checked exceptions,490,"['java', 'exception', 'checked-exceptions']"
Possible heap pollution via varargs parameter,488,"['java', 'eclipse', 'generics', 'variadic-functions']"
How to convert jsonString to JSONObject in Java,486,"['java', 'arrays', 'json', 'parsing']"
Infinite Recursion with Jackson JSON and Hibernate JPA issue,485,"['java', 'json', 'orm', 'spring-mvc', 'jackson']"
What is a StackOverflowError?,485,"['java', 'exception', 'memory-leaks', 'out-of-memory', 'stack-overflow']"
Different between parseInt() and valueOf() in java?,484,['java']
Remove last character of a StringBuilder?,483,"['java', 'stringbuilder']"
What is the difference between instanceof and Class.isAssignableFrom(...)?,483,"['java', 'instanceof', 'reflection']"
Change date format in a Java string,482,"['java', 'string', 'date', 'formatting', 'date-format']"
How to unit test abstract classes: extend with stubs?,481,"['java', 'unit-testing', 'testing', 'abstract-class']"
How to convert java.util.Date to java.sql.Date?,480,"['java', 'sql', 'datetime', 'date']"
"How to deal with ""java.lang.OutOfMemoryError: Java heap space"" error?",480,"['java', 'jvm', 'out-of-memory', 'heap-memory']"
"""Invalid signature file"" when attempting to run a .jar",479,"['java', 'jar', 'executable-jar']"
Easy way to write contents of a Java InputStream to an OutputStream,478,"['java', 'io', 'stream']"
Mockito test a void method throws an exception,477,"['java', 'exception', 'mocking', 'mockito']"
Google Gson - deserialize list<class> object? (generic type),474,"['java', 'json', 'generics', 'gson']"
Maven does not find JUnit tests to run,474,"['java', 'maven', 'junit']"
"What is SuppressWarnings (""unchecked"") in Java?",473,"['java', 'generics', 'unchecked', 'suppress-warnings']"
How is the default max Java heap size determined?,472,"['java', 'heap-memory']"
How to pass a function as a parameter in Java? [duplicate],472,['java']
Convert Iterable to Stream using Java 8 JDK,472,"['java', 'java-8', 'java-stream', 'iterable']"
What is the point of the diamond operator (<>) in Java?,472,"['java', 'generics', 'java-7', 'diamond-operator']"
How to convert a Kotlin source file to a Java source file,472,"['java', 'kotlin', 'code-conversion']"
Calculating the difference between two Java date instances,471,"['java', 'date', 'time', 'timedelta', 'java.util.date']"
How to pretty print XML from Java?,471,"['java', 'xml', 'pretty-print']"
"Difference between @Before, @BeforeClass, @BeforeEach and @BeforeAll",471,"['java', 'junit', 'annotations', 'junit4', 'junit5']"
How do I make a delay in Java?,470,"['java', 'wait', 'sleep', 'thread-sleep']"
Why are you not able to declare a class as static in Java?,470,"['java', 'static-class']"
How can I pad a String in Java?,469,"['java', 'string', 'padding']"
Retrieving a List from a java.util.stream.Stream in Java 8,469,"['java', 'lambda', 'collections', 'java-8', 'java-stream']"
How to convert int[] into List<Integer> in Java?,467,"['java', 'arrays', 'collections', 'boxing', 'autoboxing']"
What is the difference between Set and List?,466,"['java', 'list', 'set']"
"Best way to ""negate"" an instanceof",465,"['java', 'syntax']"
Java - Convert integer to string [duplicate],464,"['java', 'string', 'numbers', 'int']"
How to change font size in Eclipse for Java text editors?,463,"['java', 'eclipse', 'fonts', 'font-size']"
How to initialize an array in Java?,462,"['java', 'arrays', 'initialization']"
"What does the ""static"" modifier after ""import"" mean?",461,"['java', 'modifier', 'static-import']"
Easy way to convert Iterable to Collection,459,"['java', 'collections', 'spring-data', 'iterable']"
How to initialize List<String> object in Java?,458,"['java', 'list']"
How to detect a loop in a linked list?,458,"['java', 'algorithm', 'data-structures', 'linked-list']"
"What does a ""Cannot find symbol"" or ""Cannot resolve symbol"" error mean?",458,"['java', 'compiler-errors', 'cannot-find-symbol']"
Is it safe to use Project Lombok? [closed],457,"['java', 'lombok']"
What does the 'static' keyword do in a class?,457,"['java', 'static', 'oop', 'language-features', 'restriction']"
Get source JARs from Maven repository,457,"['java', 'maven', 'mvn-repo']"
Why do I need to override the equals and hashCode methods in Java?,456,"['java', 'equals', 'hashcode']"
"JsonMappingException: No suitable constructor found for type [simple type, class ]: can not instantiate from JSON object",456,"['java', 'json', 'spring', 'annotations', 'jackson']"
Syntax for creating a two-dimensional array in Java,456,"['java', 'multidimensional-array']"
Maven Modules + Building a Single Specific Module,454,"['java', 'maven-2', 'build-process']"
Is there a concise way to iterate over a stream with indices in Java 8?,454,"['java', 'java-8', 'java-stream']"
Remove HTML tags from a String,453,"['java', 'html', 'regex', 'parsing']"
Should we @Override an interface's method implementation?,453,"['java', 'oop', 'interface', 'annotations']"
"What is the difference between Tomcat, JBoss and Glassfish?",452,"['java', 'tomcat', 'jboss', 'glassfish', 'enterprise']"
How to extract a substring using regex,451,"['java', 'regex', 'string', 'text-extraction']"
How to download and save a file from Internet using Java?,450,"['java', 'download']"
Check orientation on Android phone,449,"['java', 'android', 'orientation']"
Generating all permutations of a given string,449,"['java', 'algorithm']"
What should I set JAVA_HOME environment variable on macOS X 10.6?,449,"['java', 'macos', 'configuration']"
Rethrowing exceptions in Java without losing the stack trace,449,"['java', 'exception']"
Most efficient way to increment a Map value in Java,448,"['java', 'optimization', 'collections']"
Finding Number of Cores in Java,447,['java']
Using Enum values as String literals,446,"['java', 'string', 'enums']"
How to capitalize the first character of each word in a string,446,"['java', 'string', 'uppercase', 'lowercase', 'capitalization']"
CharSequence VS String in Java?,446,"['java', 'string', 'charsequence']"
Why doesn't Java offer operator overloading?,445,"['java', 'operator-overloading']"
How to run test methods in specific order in JUnit4?,445,"['java', 'unit-testing', 'junit', 'junit4']"
How to print a query string with parameter values when using Hibernate,444,"['java', 'sql', 'hibernate', 'orm']"
How to generate UML diagrams (especially sequence diagrams) from Java code?,444,"['java', 'uml', 'reverse-engineering', 'diagram']"
MySQL JDBC Driver 5.1.33 - Time Zone Issue,441,"['java', 'mysql', 'tomcat', 'jdbc', 'timezone']"
"The superclass ""javax.servlet.http.HttpServlet"" was not found on the Java Build Path [duplicate]",441,"['java', 'eclipse', 'jsp', 'maven', 'web']"
Mocking static methods with Mockito,441,"['java', 'unit-testing', 'static', 'mocking', 'mockito']"
How to convert String to long in Java?,440,"['java', 'string']"
How to configure encoding in Maven?,440,"['java', 'maven', 'encoding', 'maven-2', 'maven-3']"
Why doesn't JUnit provide assertNotEquals methods?,440,"['java', 'junit', 'assert']"
Is it possible to declare a variable in Gradle usable in Java?,439,"['java', 'android', 'gradle', 'android-gradle-plugin']"
Custom thread pool in Java 8 parallel stream,439,"['java', 'concurrency', 'parallel-processing', 'java-8', 'java-stream']"
Initialize class fields in constructor or at declaration?,439,['java']
How to create a directory in Java?,437,"['java', 'directory']"
Create the perfect JPA entity [closed],437,"['java', 'hibernate', 'jpa', 'equals']"
Gson: How to exclude specific fields from Serialization without annotations,436,"['java', 'json', 'serialization', 'gson']"
What in the world are Spring beans?,436,"['java', 'spring', 'grails']"
How to set java_home on Windows 7?,435,"['java', 'windows-7', 'java-home', 'system-variable']"
"Change Name of Import in Java, or import two classes with the same name",435,"['java', 'import']"
Java int to String - Integer.toString(i) vs new Integer(i).toString(),435,"['java', 'string', 'int']"
Room - Schema export directory is not provided to the annotation processor so we cannot export the schema,434,"['java', 'android', 'database', 'android-room']"
"Java string split with ""."" (dot) [duplicate]",434,"['java', 'regex', 'string', 'split', 'indexoutofboundsexception']"
What is the convention for word separator in Java package names?,434,"['java', 'naming-conventions', 'package']"
How to check if current thread is not main thread,431,"['java', 'android', 'multithreading']"
Way to get number of digits in an int?,431,"['java', 'integer']"
Convert java.util.Date to String,430,"['java', 'date', 'formatting', 'java.util.date']"
How to sum a list of integers with java streams?,429,"['java', 'java-8', 'java-stream']"
Java Security: Illegal key size or default parameters?,428,['java']
How to log SQL statements in Spring Boot?,427,"['java', 'spring', 'hibernate', 'spring-boot', 'logging']"
How to respond with HTTP 400 error in a Spring MVC @ResponseBody method returning String?,427,"['java', 'spring', 'spring-mvc', 'http-error']"
How to convert a char array back to a string?,427,"['java', 'arrays', 'string', 'char']"
How to check if a String contains another String in a case insensitive manner in Java?,426,"['java', 'string']"
IntelliJ - Convert a Java project/module into a Maven project/module,426,"['java', 'maven', 'intellij-idea', 'pom.xml']"
Replace a character at a specific index in a string?,426,"['java', 'string', 'replace', 'indexing', 'character']"
Why is (a*b != 0) faster than (a != 0 && b != 0) in Java?,426,"['java', 'performance', 'processing-efficiency', 'microbenchmark', 'branch-prediction']"
Split Java String by New Line,425,"['java', 'regex', 'split', 'newline']"
Getting the filenames of all files in a folder [duplicate],425,"['java', 'file', 'directory', 'filenames']"
What are the reasons why Map.get(Object key) is not (fully) generic,425,"['java', 'generics', 'collections', 'map']"
Maven package/install without test (skip tests),424,"['java', 'maven']"
Standard concise way to copy a file in Java?,424,"['java', 'file', 'copy']"
How to send HTTP request in java? [duplicate],424,"['java', 'html', 'http', 'httpwebrequest']"
NullPointerException in Collectors.toMap with null entry values,424,"['java', 'nullpointerexception', 'java-stream', 'collectors']"
No appenders could be found for logger(log4j)?,423,"['java', 'eclipse', 'log4j']"
Difference between >>> and >>,423,"['java', 'syntax', 'operators']"
How to solve the “failed to lazily initialize a collection of role” Hibernate exception,422,"['java', 'spring', 'hibernate', 'jsp', 'spring-mvc']"
javax vs java package,422,['java']
Launching Google Maps Directions via an intent on Android,420,"['java', 'android', 'google-maps', 'android-intent']"
"How to wait for all threads to finish, using ExecutorService?",420,"['java', 'multithreading', 'concurrency', 'parallel-processing', 'executorservice']"
Eclipse Optimize Imports to Include Static Imports,419,"['java', 'eclipse', 'keyboard-shortcuts']"
How to compare dates in Java? [duplicate],418,"['java', 'date', 'comparison']"
Mockito: Trying to spy on method is calling the original method,418,"['java', 'junit', 'mockito']"
Does Java JIT cheat when running JDK code?,418,"['java', 'jvm', 'jit', 'jvm-hotspot']"
How do I define a method which takes a lambda as a parameter in Java 8?,418,"['java', 'lambda', 'java-8']"
Downloading a file from spring controllers,416,"['java', 'spring', 'file', 'download', 'controller']"
Hibernate show real SQL [duplicate],416,"['java', 'sql', 'hibernate', 'orm']"
Is there an advantage to use a Synchronized Method instead of a Synchronized Block?,415,"['java', 'multithreading', 'concurrency', 'locking', 'synchronized']"
How to get the insert ID in JDBC?,415,"['java', 'sql', 'jdbc', 'insert-id']"
Should I declare Jackson's ObjectMapper as a static field?,415,"['java', 'json', 'jackson']"
@Resource vs @Autowired,414,"['java', 'spring', 'dependency-injection', 'annotations', 'autowired']"
"Why should I use the keyword ""final"" on a method parameter in Java?",414,"['java', 'pass-by-reference', 'final', 'pass-by-value']"
Java Generics With a Class & an Interface - Together,414,"['java', 'class', 'generics', 'bounded-wildcard']"
How do I find the caller of a method using stacktrace or reflection?,413,"['java', 'stack-trace']"
Trusting all certificates using HttpClient over HTTPS,412,"['java', 'ssl', 'https', 'certificate', 'apache-httpclient-4.x']"
How to parse/format dates with LocalDateTime? (Java 8),412,"['java', 'datetime', 'java-8', 'timestamp', 'java-time']"
Java 256-bit AES Password-Based Encryption,412,"['java', 'encryption', 'cryptography', 'passwords', 'aes']"
What is meant by immutable?,412,"['java', 'string', 'immutability']"
How do I install Java on Mac OSX allowing version switching?,411,"['java', 'macos', 'java-17']"
What is object serialization?,411,"['java', 'serialization', 'object-serialization']"
How to access a value defined in the application.properties file in Spring Boot,411,"['java', 'spring-boot', 'properties-file']"
Convert java.time.LocalDate into java.util.Date type,411,"['java', 'java-8', 'java-time']"
